sep=;
QtdFuncoes;Biblioteca;min;max;media;mediana;duracao
30;uuid;0.637;0.739;0.681;0.683;3.417
16;exectimer;0.66;0.681;0.665;0.668;3.338
348;lodash;6.835;7.05;6.865;6.904;34.52
7;minimist;1.594;2.184;1.726;1.809;9.043
123;underscore;5.23;5.457;5.273;5.297;26.485
17;xml2js;20.297;32.436;23.476;25.588;127.938
0;express-ifttt-webhook;1.003;1.057;1.032;1.03;5.151
8;gulp-ccr-browserify;0.655;0.692;0.663;0.673;3.363
1;bower;27.916;38.307;33.357;32.556;162.779
89;plivo-node;0.849;0.855;0.851;0.852;4.26
34;bower;42.828;56.505;44.151;46.61;233.051
0;tleaf;4.395;5.502;4.561;4.766;23.832
16;pug;8.251;8.52;8.473;8.433;42.165
379;jquery;42.77;45.24;43.45;43.898;219.491
